,agent_signature,epochs_trained,knowledge_change,steps_taken,success
0,a0.001g0.999e0.3,5,0.002245051258362627,200,False
1,a0.001g0.999e0.3,10,0.002647238378866163,200,False
2,a0.001g0.999e0.3,15,0.0022432354998295325,200,False
3,a0.001g0.999e0.3,20,0.0022415569071911876,200,False
4,a0.001g0.999e0.3,25,0.002647944129793722,200,False
5,a0.001g0.999e0.3,30,0.002657881746931748,200,False
6,a0.001g0.999e0.3,35,0.002243447398650692,200,False
7,a0.001g0.999e0.3,40,0.002239430859752537,200,False
8,a0.001g0.999e0.3,45,0.0022408027401364036,200,False
9,a0.001g0.999e0.3,50,0.0022488977941037096,200,False
10,a0.001g0.999e0.3,55,0.002242487839340882,200,False
11,a0.001g0.999e0.3,60,0.002240658851117142,200,False
12,a0.001g0.999e0.3,65,0.0026440184707610882,200,False
13,a0.001g0.999e0.3,70,0.0022551111093147584,200,False
14,a0.001g0.999e0.3,75,0.002231944792362122,200,False
15,a0.001g0.999e0.3,80,0.002246614202548479,200,False
16,a0.001g0.999e0.3,85,0.0022381446419178046,200,False
17,a0.001g0.999e0.3,90,0.002642509362092405,200,False
18,a0.001g0.999e0.3,95,0.0022269367634715166,200,False
19,a0.001g0.999e0.3,100,0.002234897973564839,200,False
20,a0.001g0.999e0.3,105,0.002245089197156869,200,False
21,a0.001g0.999e0.3,110,0.0026271719897047272,200,False
22,a0.001g0.999e0.3,115,0.002646553594985296,200,False
23,a0.001g0.999e0.3,120,0.002228101047716995,200,False
24,a0.001g0.999e0.3,125,0.002637755068151263,200,False
25,a0.001g0.999e0.3,130,0.002248270012686048,200,False
26,a0.001g0.999e0.3,135,0.002249231675047317,200,False
27,a0.001g0.999e0.3,140,0.00224543157306155,200,False
28,a0.001g0.999e0.3,145,0.0022454063374568673,200,False
29,a0.001g0.999e0.3,150,0.0022433364072423838,200,False
30,a0.001g0.999e0.3,155,0.002611430057683114,200,False
31,a0.001g0.999e0.3,160,0.002634350098858577,200,False
32,a0.001g0.999e0.3,165,0.0022216213479203293,200,False
33,a0.001g0.999e0.3,170,0.002240618167940901,200,False
34,a0.001g0.999e0.3,175,0.00223363974325225,200,False
35,a0.001g0.999e0.3,180,0.0022286115368336133,200,False
36,a0.001g0.999e0.3,185,0.0026229000828217977,200,False
37,a0.001g0.999e0.3,190,0.002226084784914901,200,False
38,a0.001g0.999e0.3,195,0.002641788816068734,200,False
39,a0.001g0.999e0.3,200,0.0022259624032546833,200,False
40,a0.001g0.999e0.3,205,0.002207503175661926,200,False
41,a0.001g0.999e0.3,210,0.002209622345818813,200,False
42,a0.001g0.999e0.3,215,0.0022348810288243294,200,False
43,a0.001g0.999e0.3,220,0.0026123809985253606,200,False
44,a0.001g0.999e0.3,225,0.0026265199272717792,200,False
45,a0.001g0.999e0.3,230,0.0022282747204537563,200,False
46,a0.001g0.999e0.3,235,0.00221910857368675,200,False
47,a0.001g0.999e0.3,240,0.002214108849602509,200,False
48,a0.001g0.999e0.3,245,0.0026030526346028835,200,False
49,a0.001g0.999e0.3,250,0.0022171430161655736,200,False
50,a0.001g0.999e0.3,255,0.0022293090081391674,200,False
51,a0.001g0.999e0.3,260,0.0026267262672726582,200,False
52,a0.001g0.999e0.3,265,0.0022211451580146768,200,False
53,a0.001g0.999e0.3,270,0.0029136041071948773,200,False
54,a0.001g0.999e0.3,275,0.0022388144059584335,200,False
55,a0.001g0.999e0.3,280,0.0022305491764734123,200,False
56,a0.001g0.999e0.3,285,0.002213690265499904,200,False
57,a0.001g0.999e0.3,290,0.002222492466218117,200,False
58,a0.001g0.999e0.3,295,0.0026175971483354513,200,False
59,a0.001g0.999e0.3,300,0.002243808402842162,200,False
60,a0.001g0.999e0.3,305,0.0022335613379264713,200,False
61,a0.001g0.999e0.3,310,0.002580532649289693,200,False
62,a0.001g0.999e0.3,315,0.0022000871975094553,200,False
63,a0.001g0.999e0.3,320,0.0022278534516260978,200,False
64,a0.001g0.999e0.3,325,0.0022237058844157874,200,False
65,a0.001g0.999e0.3,330,0.002220732622382231,200,False
66,a0.001g0.999e0.3,335,0.0022361681538102837,200,False
67,a0.001g0.999e0.3,340,0.0022278700814225175,200,False
68,a0.001g0.999e0.3,345,0.002606850556431239,200,False
69,a0.001g0.999e0.3,350,0.002610379050642534,200,False
70,a0.001g0.999e0.3,355,0.002614721912784182,200,False
71,a0.001g0.999e0.3,360,0.0021915302886676173,200,False
72,a0.001g0.999e0.3,365,0.0032442026241831763,200,False
73,a0.001g0.999e0.3,370,0.0021952241614190864,200,False
74,a0.001g0.999e0.3,375,0.002586548491198461,200,False
75,a0.001g0.999e0.3,380,0.0022213871945661583,200,False
76,a0.001g0.999e0.3,385,0.0021924492641052875,200,False
77,a0.001g0.999e0.3,390,0.0022335482402329686,200,False
78,a0.001g0.999e0.3,395,0.002585998744236911,200,False
79,a0.001g0.999e0.3,400,0.0022211411364242454,200,False
80,a0.001g0.999e0.3,405,0.0021952809646496115,200,False
81,a0.001g0.999e0.3,410,0.00318389984086734,200,False
82,a0.001g0.999e0.3,415,0.0025700919151633154,200,False
83,a0.001g0.999e0.3,420,0.002555187648259251,200,False
84,a0.001g0.999e0.3,425,0.0022153729149408043,200,False
85,a0.001g0.999e0.3,430,0.0021700348048496287,200,False
86,a0.001g0.999e0.3,435,0.0021779726500046393,200,False
87,a0.001g0.999e0.3,440,0.0025930464790088416,200,False
88,a0.001g0.999e0.3,445,0.002192876087930717,200,False
89,a0.001g0.999e0.3,450,0.002195067753724228,200,False
90,a0.001g0.999e0.3,455,0.002179821074789453,200,False
91,a0.001g0.999e0.3,460,0.002594632183848692,200,False
92,a0.001g0.999e0.3,465,0.002221342162268381,200,False
93,a0.001g0.999e0.3,470,0.002210072796748587,200,False
94,a0.001g0.999e0.3,475,0.002210760171965452,200,False
95,a0.001g0.999e0.3,480,0.0022035716040760818,200,False
96,a0.001g0.999e0.3,485,0.00219720847087604,200,False
97,a0.001g0.999e0.3,490,0.0025606038392306284,200,False
98,a0.001g0.999e0.3,495,0.0025463691532069893,200,False
99,a0.001g0.999e0.3,500,0.0025590219856359447,200,False
100,a0.001g0.999e0.3,505,0.002223551882030529,200,False
101,a0.001g0.999e0.3,510,0.0025506430430412494,200,False
102,a0.001g0.999e0.3,515,0.002571603557056646,200,False
103,a0.001g0.999e0.3,520,0.0025835147113916048,200,False
104,a0.001g0.999e0.3,525,0.0025929497778094395,200,False
105,a0.001g0.999e0.3,530,0.0021865482914003786,200,False
106,a0.001g0.999e0.3,535,0.002187384793274157,200,False
107,a0.001g0.999e0.3,540,0.0021953961036030338,200,False
108,a0.001g0.999e0.3,545,0.0025158733269104267,200,False
109,a0.001g0.999e0.3,550,0.0025649244768921704,200,False
110,a0.001g0.999e0.3,555,0.0025699244496204584,200,False
111,a0.001g0.999e0.3,560,0.002548657405690169,200,False
112,a0.001g0.999e0.3,565,0.0025016002887703467,200,False
113,a0.001g0.999e0.3,570,0.002202323850687344,200,False
114,a0.001g0.999e0.3,575,0.0025291450961204293,200,False
115,a0.001g0.999e0.3,580,0.010185611924262532,200,False
116,a0.001g0.999e0.3,585,0.002563069699675504,200,False
117,a0.001g0.999e0.3,590,0.002513012148534756,200,False
118,a0.001g0.999e0.3,595,0.002189473383913213,200,False
119,a0.001g0.999e0.3,600,0.00219374278504482,200,False
120,a0.001g0.999e0.3,605,0.0022025561820725272,200,False
121,a0.001g0.999e0.3,610,0.0021669986806463993,200,False
122,a0.001g0.999e0.3,615,0.002185723425722767,200,False
123,a0.001g0.999e0.3,620,0.0025461685747422457,200,False
124,a0.001g0.999e0.3,625,0.0021687043672562563,200,False
125,a0.001g0.999e0.3,630,0.002598266877004406,200,False
126,a0.001g0.999e0.3,635,0.0021618244101337877,200,False
127,a0.001g0.999e0.3,640,0.00218316680710985,200,False
128,a0.001g0.999e0.3,645,0.0021734249134753273,200,False
129,a0.001g0.999e0.3,650,0.0021601602248380604,200,False
130,a0.001g0.999e0.3,655,0.0021913391170048898,200,False
131,a0.001g0.999e0.3,660,0.002193443431182759,200,False
132,a0.001g0.999e0.3,665,0.0021617601592914394,200,False
133,a0.001g0.999e0.3,670,0.002492905843469398,200,False
134,a0.001g0.999e0.3,675,0.0021605146883864426,200,False
135,a0.001g0.999e0.3,680,0.0021964134815803723,200,False
136,a0.001g0.999e0.3,685,0.0021946780095143496,200,False
137,a0.001g0.999e0.3,690,0.002162146621232115,200,False
