,agent_signature,epochs_trained,knowledge_change,steps_taken,success
0,a0.001g0.999e0,5,0.0022393501268900343,200,False
1,a0.001g0.999e0,10,0.0022601778688174957,200,False
2,a0.001g0.999e0,15,0.0022776202742517287,200,False
3,a0.001g0.999e0,20,0.002310128545306506,200,False
4,a0.001g0.999e0,25,0.0023169076876195602,200,False
5,a0.001g0.999e0,30,0.0023104357397049262,200,False
6,a0.001g0.999e0,35,0.0023374177895515353,200,False
7,a0.001g0.999e0,40,0.002319545965714904,200,False
8,a0.001g0.999e0,45,0.002347385824618202,200,False
9,a0.001g0.999e0,50,0.0023152859288909163,200,False
10,a0.001g0.999e0,55,0.002319919851418779,200,False
11,a0.001g0.999e0,60,0.010211065872009706,200,False
12,a0.001g0.999e0,65,0.01022380670834407,200,False
13,a0.001g0.999e0,70,0.029958086164256964,200,False
14,a0.001g0.999e0,75,0.029869611677009286,200,False
15,a0.001g0.999e0,80,0.049534493330446856,200,False
16,a0.001g0.999e0,85,0.029627831611058735,200,False
17,a0.001g0.999e0,90,0.04913096337192433,200,False
18,a0.001g0.999e0,95,0.02939707296437639,200,False
19,a0.001g0.999e0,100,0.03903425839856925,200,False
20,a0.001g0.999e0,105,0.03888292248452217,200,False
21,a0.001g0.999e0,110,0.03872761677967447,200,False
22,a0.001g0.999e0,115,0.04816259310933693,200,False
23,a0.001g0.999e0,120,0.02883654029997866,200,False
24,a0.001g0.999e0,125,0.038267404306754224,200,False
25,a0.001g0.999e0,130,0.03812076013385375,200,False
26,a0.001g0.999e0,135,0.019096618713264634,200,False
27,a0.001g0.999e0,140,0.0190504336692932,200,False
28,a0.001g0.999e0,145,0.028416631375020287,200,False
29,a0.001g0.999e0,150,0.028321007779142926,200,False
30,a0.001g0.999e0,155,0.009656847318727785,200,False
31,a0.001g0.999e0,160,0.03757298302357272,200,False
32,a0.001g0.999e0,165,0.03742711611348643,200,False
33,a0.001g0.999e0,170,0.018736829198572905,200,False
34,a0.001g0.999e0,175,0.02794899781768452,200,False
35,a0.001g0.999e0,180,0.01866787615877098,200,False
36,a0.001g0.999e0,185,0.01861437818094819,200,False
37,a0.001g0.999e0,190,0.027760627835922345,200,False
38,a0.001g0.999e0,195,0.01852274666206033,200,False
39,a0.001g0.999e0,200,0.018523908715347506,200,False
40,a0.001g0.999e0,205,0.027575765234329284,200,False
41,a0.001g0.999e0,210,0.027499574012650168,200,False
